release_year,track_name,playlist_subgenre,track_popularity
1974,Bad Company - 2015 Remaster,classic rock,63.0
1974,Sundown,hard rock,63.0
1975,Bohemian Rhapsody - 2011 Mix,album rock,84.0
1975,Landslide,classic rock,77.0
1975,Bohemian Rhapsody - 2011 Mix,classic rock,76.0
1975,Wish You Were Here,album rock,76.0
1975,Wish You Were Here,classic rock,76.0
1975,Wish You Were Here,permanent wave,76.0
1975,Rock And Roll All Nite,album rock,75.0
1975,Born to Run,album rock,73.0
1975,Born to Run,classic rock,73.0
1975,Sweet Emotion,classic rock,73.0
1976,Hotel California - 2013 Remaster,album rock,82.0
1976,Hotel California - 2013 Remaster,classic rock,82.0
1976,Hotel California - 2013 Remaster,hard rock,82.0
1976,Hotel California - 2013 Remaster,permanent wave,82.0
1976,More Than a Feeling,album rock,78.0
1976,More Than a Feeling,post-teen pop,78.0
1976,More Than a Feeling,urban contemporary,78.0
1976,T.N.T.,classic rock,77.0
1976,T.N.T.,hard rock,77.0
1976,Carry on Wayward Son,album rock,74.0
1977,Dreams - 2004 Remaster,classic rock,79.0
1977,Mr. Blue Sky,album rock,79.0
1977,Mr. Blue Sky,classic rock,79.0
1977,The Chain - 2004 Remaster,permanent wave,78.0
1977,Dust in the Wind,album rock,77.0
1977,Dust in the Wind,classic rock,77.0
1977,Dust in the Wind,permanent wave,77.0
1977,We Are The Champions - Remastered 2011,album rock,76.0
1977,We Are The Champions - Remastered 2011,permanent wave,76.0
1977,Heroes - 2017 Remaster,permanent wave,75.0
1978,Don't Stop Me Now - 2011 Mix,album rock,83.0
1978,Roxanne,permanent wave,77.0
1978,Don't Stop Me Now - 2011 Mix,post-teen pop,75.0
1978,Hold the Line,classic rock,75.0
1978,Hold the Line,permanent wave,75.0
1978,Hold the Line,post-teen pop,75.0
1978,Old Time Rock & Roll,southern hip hop,72.0
1978,Runnin' with the Devil - 2015 Remaster,album rock,70.0
1978,Runnin' with the Devil - 2015 Remaster,classic rock,70.0
1978,Runnin' with the Devil - 2015 Remaster,hard rock,70.0
1979,Highway to Hell,album rock,83.0
1979,Highway to Hell,classic rock,83.0
1979,Highway to Hell,hard rock,83.0
1979,"Another Brick in the Wall, Pt. 2",album rock,76.0
1979,"Another Brick in the Wall, Pt. 2",classic rock,76.0
1979,"Another Brick in the Wall, Pt. 2",permanent wave,76.0
1979,Comfortably Numb,album rock,74.0
1979,Comfortably Numb,classic rock,74.0
1979,Comfortably Numb,permanent wave,74.0
1979,Message In A Bottle,permanent wave,74.0
1980,Back In Black,album rock,83.0
1980,Back In Black,classic rock,83.0
1980,Back In Black,hard rock,83.0
1980,Back In Black,post-teen pop,83.0
1980,Another One Bites The Dust - Remastered 2011,album rock,82.0
1980,Another One Bites The Dust - Remastered 2011,classic rock,78.0
1980,You Shook Me All Night Long,classic rock,78.0
1980,You Shook Me All Night Long,electropop,78.0
1980,You Shook Me All Night Long,hard rock,78.0
1980,Crazy Train,classic rock,77.0
1981,Don't Stop Believin',album rock,80.0
1981,Don't Stop Believin',classic rock,80.0
1981,Don't Stop Believin',hard rock,80.0
1981,In The Air Tonight - 2015 Remastered,permanent wave,76.0
1981,Start Me Up - Remastered,classic rock,76.0
1981,Don't You Want Me,classic rock,74.0
1981,Don't You Want Me,electropop,74.0
1981,Don't You Want Me,permanent wave,74.0
1981,Tainted Love,permanent wave,74.0
1981,Tom Sawyer,album rock,73.0
1982,Africa,album rock,83.0
1982,Africa,permanent wave,83.0
1982,Billie Jean,classic rock,81.0
1982,Under Pressure - Remastered,permanent wave,81.0
1982,Should I Stay or Should I Go - Remastered,album rock,79.0
1982,Should I Stay or Should I Go - Remastered,classic rock,79.0
